題號,題目,選項A,選項B,選項C,選項D,答案
1,2015年聯合國氣候峰會中通過的氣候協議(巴黎協定)，各國須致力控制地球升溫不能超過工業革命前多少度？,1℃之內,2℃之內,4℃之內,5℃之內,B
2,下列何者不是設置空氣品質淨化區的基本理念？,藉由植物的生理特性來減少塵埃與懸浮微粒,提供單一物種的生存環境,減緩廢棄物、噪音、水污染等人為環境污染,提供生態模擬及生態教育的場所,B
3,測量道路噪音時，儀器應設置於距地面多少高度進行測量？,0.5~0.7公尺,0.8~1公尺,1.2~1.5公尺,1.6~2公尺,C
4,下列何者是因開採砂石時未做好水土保持所造成的影響？,土石流,熱島效應,空氣污染,全球暖化,A
5,2024年，東沙環礁群島附近出現大量棘冠海星，牠們啃食石珊瑚，嚴重危及當地珊瑚生態。專家推測，棘冠海星數量快速增加，可能與捕食牠們的大法螺遭人類大量捕捉、數量減少有關。請問，大法螺與棘冠海星之間的關係屬於哪一種？,掠食,競爭,片利共生,寄生,A
6,環境部提醒民眾，颱風過後飲水須煮沸再飲用，如擔心水有異味，煮沸後應將蓋子打開至少幾分鐘以上？,1分鐘,3分鐘,15分鐘,30分鐘,B
7,哪一項做法可以延長衣物壽命？,保護衣物材質，使用乾洗清潔,每天清洗保持衣物潔淨,為求衣物乾燥，經常使用烘衣機,衣服翻面晾曬並斟酌時間,D
8,國際「世界水資源日」係指每年的哪一天？,2月28日,3月22日,4月20日,6月5日,B
9,「位於凹岸的村落因河岸持續地退縮而被迫遷村。」文中所述的河岸地退縮現象，主要是哪一種河流作用所形成？,磨蝕,溶蝕,吹蝕,侵蝕,D
10,以下有關碳稅的敘述何者不正確？,碳稅指的是對生產商品和服務，在過程中任何階段依據使用化石燃料的碳含量所徵的,碳稅的目的是彰顯碳排放所隱含的社會成本。,透過提高化石燃料的價格有可能達到減少溫室氣體排放的目的,碳稅是一種經濟行為，與我們的生活毫無關係,D
11,如廁後將衛生紙直接丟入馬桶沖掉，無法減少下列哪項環境衛生問題？,減少蚊蠅孳生,減少如廁舒適,減少細菌或傳染病傳播,減少廁所異味,B
12,何謂碳匯？,針對排放二氧化碳的企業徵收的貨幣,將二氧化碳持續移除後儲存於自然或人為系統中,二氧化碳的供給管道,所有排放源產生的二氧化碳,B
13,我們如何稱呼農糧產品及各種消費品在生產過程中所消耗的水資源？,水耗量,水商品,水足跡,水能量,C
