題號,類別/階段,題目,選項A,選項B,選項C,選項D,正確答案,完整解析
1,校內選拔賽,2015年聯合國氣候峰會中通過的氣候協議(巴黎協定)，各國須致力控制地球升溫不能超過工業革命前多少度？,1℃之內,2℃之內,4℃之內,5℃之內,(B) 2℃之內,"【正解說明】2015年聯合國氣候變遷綱要公約第21次締約方會議（COP21）通過《巴黎協定》（Paris Agreement），其核心目標是將全球平均氣溫升幅控制在工業化前水平的「2℃之內」，並努力追求將升溫限制在「1.5℃之內」，以大幅降低氣候變遷帶來的全球災難性風險。
【其他選項解析】
(A) 1℃之內：全球目前平均氣溫已較工業革命前上升超過1.1℃，並非巴黎協定設定之門檻目標。
(C) 4℃之內、(D) 5℃之內：若升溫達到4℃至5℃，將引發全球極端乾旱、冰層融化瓦解與海平面急遽上升等毀滅性浩劫，非國際公約所允許之目標。"
2,校內選拔賽,下列何者不是設置空氣品質淨化區的基本理念？,藉由植物的生理特性來減少塵埃與懸浮微粒,提供單一物種的生存環境,減緩廢棄物、噪音、水污染等人為環境污染,提供生態模擬及生態教育的場所,(B) 提供單一物種的生存環境,"【正解說明】設置「空氣品質淨化區」的核心理念在於透過多樣化原生植物與複層植栽營造良好的微氣候，淨化空氣並維持「生物多樣性」，絕非「提供單一物種的生存環境」；單一物種環境生態穩定度極低且易生病蟲害，違反生態綠化原則，故(B)不是其理念。
【其他選項解析】
(A) 藉由植物生理特性滯塵與吸附PM：此為空淨區最核心之空氣淨化功能。
(C) 減緩人為環境污染：空淨區具備綠帶緩衝功能，可阻隔吸收噪音與異味。
(D) 提供生態教育場所：空淨區結合社區與休閒空間，為優良之環境教育與生態展示場域。"
3,校內選拔賽,測量道路噪音時，儀器應設置於距地面多少高度進行測量？,0.5~0.7公尺,0.8~1公尺,1.2~1.5公尺,1.6~2公尺,(C) 1.2~1.5公尺,"【正解說明】依據我國環境部公告之「環境噪音測量方法」標準規範，測量環境或道路噪音時，噪音計之麥克風受音器應架設於離地面「1.2至1.5公尺」的高度（此高度貼近人體站立時耳朵接收聲音之平均水平），可避免地面反射波干擾並準確反映人體受音實況。
【其他選項解析】
(A)、(B)、(D) 皆非環境法規所規定之標準受音高度；高度過低易受地面吸音或近地反射波失真干擾，高度過高則偏離人耳常態受音範圍。"
4,校內選拔賽,下列何者是因開採砂石時未做好水土保持所造成的影響？,土石流,熱島效應,空氣污染,全球暖化,(A) 土石流,"【正解說明】開採砂石若缺乏妥善的水土保持與邊坡防護設施，會使山坡地表植被破壞、表土裸露且鬆散。一旦遭遇颱風或豪大雨沖刷，極易順著溪谷引發嚴重的「土石流」與山崩崩塌災害。
【其他選項解析】
(B) 熱島效應：主要肇因於都市高度水泥化、建築密集與大量人工排熱。
(C) 空氣污染：砂石開採雖可能產生局部揚塵，但水土保持未做好最直接且重大的地質災害為土石流。
(D) 全球暖化：主要是大量燃燒化石燃料排放二氧化碳等溫室氣體所致。"
5,校內選拔賽,2024年，東沙環礁群島附近出現大量棘冠海星，牠們啃食石珊瑚，嚴重危及當地珊瑚生態。專家推測，棘冠海星數量快速增加，可能與捕食牠們的大法螺遭人類大量捕捉、數量減少有關。請問，大法螺與棘冠海星之間的關係屬於哪一種？,掠食,競爭,片利共生,寄生,(A) 掠食,"【正解說明】大法螺以棘冠海星為主要食物來源。在捕食過程中，大法螺獲得養分（掠食者獲利），棘冠海星失去生命（獵物死亡），這種一得一失且伴隨殺死獵物的生物種間交互作用屬於典型的「掠食（Predation）」關係。
【其他選項解析】
(B) 競爭：指不同生物為了爭奪相同之食物、領域或陽光等資源而互相抑制的關係。
(C) 片利共生：指一方獲利，另一方既不受害也不獲利的共生關係（如鮣魚附著於鯊魚）。
(D) 寄生：指寄生者寄居於宿主體內外吸取養分，通常不會立即致宿主於死。"
6,校內選拔賽,環境部提醒民眾，颱風過後飲水須煮沸再飲用，如擔心水有異味，煮沸後應將蓋子打開至少幾分鐘以上？,1分鐘,3分鐘,15分鐘,30分鐘,(B) 3分鐘,"【正解說明】颱風過後自來水原水濁度升高，自來水廠通常會增加加氯消毒劑量以確保滅菌，使水中餘氯及可能的三鹵甲烷副產物微幅增加。環境部宣導飲用水煮沸達到沸點後，應「打開水壺蓋以小火續煮至少3分鐘」，使餘氯與揮發性有機物充分蒸散逸出。
【其他選項解析】
(A) 1分鐘：時間過短，可能不足以使微量揮發性消毒副產物充分逸散。
(C) 15分鐘、(D) 30分鐘：時間過長且耗費能源，亦會導致水份過度蒸發濃縮，無此必要。"
7,校內選拔賽,哪一項做法可以延長衣物壽命？,保護衣物材質，使用乾洗清潔,每天清洗保持衣物潔淨,為求衣物乾燥，經常使用烘衣機,衣服翻面晾曬並斟酌時間,(D) 衣服翻面晾曬並斟酌時間,"【正解說明】衣物翻面晾曬能避免外表印花與纖維直接受到陽光紫外線長時間照射而褪色脆化，適度控制晾曬時間可維持纖維彈性，是延長衣物壽命最有效且環保的日常保養方式。
【其他選項解析】
(A) 頻繁乾洗：乾洗常使用化學溶劑（如四氯乙烯），長期會損害衣物特殊纖維並造成環境污染。
(B) 每天過度清洗：未髒的衣物過度機械搓洗會加速纖維起毛球、磨損變形。
(C) 經常使用烘衣機：高溫烘乾容易造成布料纖維縮水硬化與彈性受損。"
8,校內選拔賽,國際「世界水資源日」係指每年的哪一天？,2月28日,3月22日,4月20日,6月5日,(B) 3月22日,"【正解說明】聯合國大會於1993年通過決議，將每年的「3月22日」訂為「世界水資源日（World Water Day）」，旨在喚起各國重視水資源短缺危機、強化淡水資源保護與永續管理。
【其他選項解析】
(A) 2月28日：我國二二八和平紀念日。
(C) 4月20日：非主要國際環境紀念日（4月22日為世界地球日）。
(D) 6月5日：為聯合國「世界環境日（World Environment Day）」。"
9,校內選拔賽,「位於凹岸的村落因河岸持續地退縮而被迫遷村。」文中所述的河岸地退縮現象，主要是哪一種河流作用所形成？,磨蝕,溶蝕,吹蝕,侵蝕,(D) 侵蝕,"【正解說明】河流流經彎道時，水流因慣性與離心力作用直衝「凹岸」，造成凹岸水流速度快且側向「侵蝕作用（Erosion）」強烈，使河岸邊坡不斷掏空崩塌退縮；而在凸岸則因流速慢而以「堆積作用」為主。
【其他選項解析】
(A) 磨蝕：指流水搬運泥沙顆粒碰撞摩擦岩壁之微觀機制，屬於侵蝕作用的一種方式，但整體地貌退縮之宏觀作用稱為侵蝕。
(B) 溶蝕：指可溶性岩石（如石灰岩）被水化學溶解之地質作用。
(C) 吹蝕：為風力搬運細砂淘空地面之風蝕地形作用，非河流作用。"
10,校內選拔賽,以下有關碳稅的敘述何者不正確？,碳稅指的是對生產商品和服務，在過程中任何階段依據使用化石燃料的碳含量所徵的,碳稅的目的是彰顯碳排放所隱含的社會成本。,透過提高化石燃料的價格有可能達到減少溫室氣體排放的目的,碳稅是一種經濟行為，與我們的生活毫無關係,(D) 碳稅是一種經濟行為，與我們的生活毫無關係,"【正解說明】碳稅（Carbon Tax）是將碳排放的外部成本內部化的經濟工具，徵收碳稅會透過供應鏈傳遞影響電價、油價、交通運輸與民生消費品價格，並引導大眾生活轉向低碳消費模式，與全民生活息息相關，故(D)說「與我們的生活毫無關係」是錯誤的。
【其他選項解析】
(A) 碳稅定義為依產品生命週期中化石燃料碳含量課徵稅捐，敘述正確。
(B) 碳稅之核心目的即為彰顯溫室氣體排放之環境與社會外部成本，敘述正確。
(C) 透過價格機制提高化石能源成本，能促使企業與民眾自主節能減碳，敘述正確。"
